ensg	entr	hgnc	symb	synonym1	synonym2
ENSG00000256769	106478964	HGNC:40117	CACNA1C-AS3		
ENSG00000256025	100874234	HGNC:40116	CACNA1C-AS4		
ENSG00000256837	107984540	HGNC:41312	CACNA1C-IT1		
ENSG00000256257	100874369	HGNC:41313	CACNA1C-IT2		
ENSG00000256721	100874370	HGNC:41314	CACNA1C-IT3		
ENSG00000157388	776	HGNC:1391	CACNA1D	Cav1.3	CCHL1A2
ENSG00000157388	776	HGNC:1391	CACNA1D	Cav1.3	CACNL1A2
ENSG00000157388	776	HGNC:1391	CACNA1D	CACH3	CCHL1A2
ENSG00000157388	776	HGNC:1391	CACNA1D	CACH3	CACNL1A2
ENSG00000157388	776	HGNC:1391	CACNA1D	CACN4	CCHL1A2
ENSG00000157388	776	HGNC:1391	CACNA1D	CACN4	CACNL1A2
ENSG00000198216	777	HGNC:1392	CACNA1E	Cav2.3	CACNL1A6
ENSG00000198216	777	HGNC:1392	CACNA1E	BII	CACNL1A6
ENSG00000198216	777	HGNC:1392	CACNA1E	CACH6	CACNL1A6
ENSG00000102001	778	HGNC:1393	CACNA1F	Cav1.4	CSNB2
ENSG00000102001	778	HGNC:1393	CACNA1F	Cav1.4	AIED
ENSG00000102001	778	HGNC:1393	CACNA1F	JM8	CSNB2
ENSG00000102001	778	HGNC:1393	CACNA1F	JM8	AIED
ENSG00000102001	778	HGNC:1393	CACNA1F	JMC8	CSNB2
ENSG00000102001	778	HGNC:1393	CACNA1F	JMC8	AIED
ENSG00000102001	778	HGNC:1393	CACNA1F	CSNBX2	CSNB2
ENSG00000102001	778	HGNC:1393	CACNA1F	CSNBX2	AIED
ENSG00000102001	778	HGNC:1393	CACNA1F	CORDX3	CSNB2
ENSG00000102001	778	HGNC:1393	CACNA1F	CORDX3	AIED
ENSG00000102001	778	HGNC:1393	CACNA1F	CSNB2A	CSNB2
ENSG00000102001	778	HGNC:1393	CACNA1F	CSNB2A	AIED
ENSG00000102001	778	HGNC:1393	CACNA1F	OA2	CSNB2
ENSG00000102001	778	HGNC:1393	CACNA1F	OA2	AIED
ENSG00000006283	8913	HGNC:1394	CACNA1G	Cav3.1	
ENSG00000006283	8913	HGNC:1394	CACNA1G	NBR13	
ENSG00000250107	253962	HGNC:27377	CACNA1G-AS1	CAS1	
ENSG00000196557	8912	HGNC:1395	CACNA1H	Cav3.2	
ENSG00000100346	8911	HGNC:1396	CACNA1I	Cav3.3	
ENSG00000081248	779	HGNC:1397	CACNA1S	Cav1.1	HOKPP
ENSG00000081248	779	HGNC:1397	CACNA1S	Cav1.1	MHS5
ENSG00000081248	779	HGNC:1397	CACNA1S	Cav1.1	CACNL1A3
ENSG00000081248	779	HGNC:1397	CACNA1S	hypoPP	HOKPP
ENSG00000081248	779	HGNC:1397	CACNA1S	hypoPP	MHS5
ENSG00000081248	779	HGNC:1397	CACNA1S	hypoPP	CACNL1A3
ENSG00000153956	781	HGNC:1399	CACNA2D1	lncRNA-N3	CACNL2A
ENSG00000153956	781	HGNC:1399	CACNA2D1	lncRNA-N3	CACNA2
ENSG00000153956	781	HGNC:1399	CACNA2D1	lncRNA-N3	MHS3
ENSG00000153956	781	HGNC:1399	CACNA2D1	lncRNA-N3	LINC01112
ENSG00000153956	781	HGNC:1399	CACNA2D1	alpha2delta-1	CACNL2A
ENSG00000153956	781	HGNC:1399	CACNA2D1	alpha2delta-1	CACNA2
ENSG00000153956	781	HGNC:1399	CACNA2D1	alpha2delta-1	MHS3
ENSG00000153956	781	HGNC:1399	CACNA2D1	alpha2delta-1	LINC01112
